Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
BDM,NA,NA,master plate,NA,96w_22atb_240703_plate4,F8,BDM_5MIC,in 0.3mgmL DMSO,DMSO,200,200,290,0.12,5,0.6,0.3mgmL,0.3,1
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,A7,Carbenicillin_0.5MIC,in 10mM DMSO,DMSO,3.30337393400123,2.5,487.5,0.660674786800246,0.5,0.330337393400123,10mM,10,0.756802
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,B9,Carbenicillin_10MIC,in 10mM DMSO,DMSO,66.0674786800246,65,425,0.660674786800246,10,6.60674786800246,10mM,10,0.983842600000001
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,F2,Carbenicillin_1MIC,in 10mM DMSO,DMSO,6.60674786800246,7.5,482.5,0.660674786800246,1,0.660674786800246,10mM,10,1.135203
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,H4,Carbenicillin_5MIC,in 10mM DMSO,DMSO,33.0337393400123,32.5,457.5,0.660674786800246,5,3.30337393400123,10mM,10,0.983842600000001
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,master plate,NA,96w_22atb_240703_plate4,A3,Cefotaxim_0.5MIC,in 1mM DMSO,DMSO,13.173205699607,12.5,477.5,0.26346411399214,0.5,0.13173205699607,1mM,1,0.948895833333333
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,H6,Cefotaxim_10MIC,in 10mM DMSO,DMSO,26.346411399214,27.5,462.5,0.26346411399214,10,2.6346411399214,10mM,10,1.04378541666667
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,D4,Cefotaxim_1MIC,in 10mM DMSO,DMSO,2.6346411399214,2.5,487.5,0.26346411399214,1,0.26346411399214,10mM,10,0.948895833333333
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,B5,Cefotaxim_5MIC,in 10mM DMSO,DMSO,13.173205699607,12.5,477.5,0.26346411399214,5,1.3173205699607,10mM,10,0.948895833333333
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,G8,Ciprofloxacin_0.5MIC,in 10mM DMSO,DMSO,3.77249159488872,5,485,0.754498318977745,0.5,0.377249159488872,10mM,10,1.325384
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,B2,Ciprofloxacin_10MIC,in 10mM DMSO,DMSO,75.4498318977745,75,415,0.754498318977745,10,7.54498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,H9,Ciprofloxacin_1MIC,in 10mM DMSO,DMSO,7.54498318977745,7.5,482.5,0.754498318977745,1,0.754498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,A5,Ciprofloxacin_5MIC,in 10mM DMSO,DMSO,37.7249159488872,37.5,452.5,0.754498318977745,5,3.77249159488872,10mM,10,0.994038000000002
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,G4,Clarithromycin_0.5MIC,in 10mM DMSO,DMSO,6.6848494571902,7.5,482.5,1.33696989143804,0.5,0.66848494571902,10mM,10,1.12194
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,B6,Clarithromycin_10MIC,in 10mM DMSO,DMSO,133.696989143804,132.5,357.5,1.33696989143804,10,13.3696989143804,10mM,10,0.991047000000003
