Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,rep,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,O20,Gepotidacin_10MIC,2,in 1mM DMSO,DMSO,222.955,222.5,267.5,0,0.446,10,4.45910996165165,1mM,1,0.997957000000001
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,M4,Gepotidacin_1MIC,2,in 1mM DMSO,DMSO,22.296,22.5,467.5,0,0.446,1,0.445910996165165,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,I24,Gepotidacin_5MIC,2,in 1mM DMSO,DMSO,111.478,112.5,377.5,0,0.446,5,2.22955498082582,1mM,1,0.997957000000003
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,master plate,NA,96w_22atb_240703_plate4,B10,Moxifloxacin_0.5MIC,2,in 1mM DMSO,DMSO,7.473,7.5,482.5,0,0.298930575864844,0.5,0.149465287932422,1mM,1,1.0035775
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,I22,Novobiocin_0.5MIC,2,in 100mM Water,Water,4,5,0,495,16,0.5,8,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,G6,Novobiocin_10MIC,2,in 100mM Water,Water,80,80,0,420,16,10,160,100mM,100,1
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,H20,Novobiocin_1MIC,2,in 100mM Water,Water,8,7.5,0,492.5,16,1,16,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,A17,Novobiocin_5MIC,2,in 100mM Water,Water,40,40,0,460,16,5,80,100mM,100,1
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,D4,Rifabutin_0.5MIC,2,in 1mM DMSO,DMSO,7.379,7.5,482.5,0,0.295152416707988,0.5,0.147576208353994,1mM,1,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,F14,Rifabutin_1MIC,2,in 1mM DMSO,DMSO,14.758,15,475,0,0.295152416707988,1,0.295152416707988,1mM,1,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,B4,Rifampicin_0.5MIC,2,in 1mM DMSO,DMSO,3.645,5,485,0,0.145818650205361,0.5,0.072909325102681,1mM,1,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,K8,Rifampicin_1MIC,2,in 1mM DMSO,DMSO,7.291,7.5,482.5,0,0.145818650205361,1,0.145818650205361,1mM,1,1.028675
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,O18,Linezolid_0.5MIC,2,in 10mM DMSO,DMSO,7.411,7.5,482.5,0,2.96428042092782,0.5,1.48214021046391,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,I15,Linezolid_10MIC,2,in 10mM DMSO,DMSO,148.214,150,340,0,2.96428042092782,10,29.6428042092782,10mM,10,1.00361625
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,L11,Linezolid_1MIC,2,in 10mM DMSO,DMSO,14.821,15,475,0,2.96428042092782,1,2.96428042092782,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,G4,Linezolid_5MIC,2,in 10mM DMSO,DMSO,74.107,75,415,0,2.96428042092782,5,14.8214021046391,10mM,10,0.9951825
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,M12,Rifabutin_10MIC,2,in 10mM DMSO,DMSO,14.758,15,475,0,0.295152416707988,10,2.95152416707988,10mM,10,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,B18,Rifabutin_5MIC,2,in 10mM DMSO,DMSO,7.379,7.5,482.5,0,0.295152416707988,5,1.47576208353994,10mM,10,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,M11,Rifampicin_10MIC,2,in 10mM DMSO,DMSO,7.291,7.5,482.5,0,0.145818650205361,10,1.45818650205361,10mM,10,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,N5,Rifampicin_5MIC,2,in 10mM DMSO,DMSO,3.645,5,485,0,0.145818650205361,5,0.729093251026805,10mM,10,1.028675
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,I14,Amoxicillin_10MIC,2,in 10mM DMSO,DMSO,17.104,17.5,472.5,0,0.342081497495963,10,3.42081497495963,10mM,10,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,F2,Amoxicillin_5MIC,2,in 10mM DMSO,DMSO,8.552,10,480,0,0.342081497495963,5,1.71040748747981,10mM,10,1.023148
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,A15,Carbenicillin_0.5MIC,2,in 10mM DMSO,DMSO,1.652,2.5,487.5,0,0.660674786800246,0.5,0.330337393400123,10mM,10,0.756802
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,K13,Carbenicillin_10MIC,2,in 10mM DMSO,DMSO,33.034,35,455,0,0.660674786800246,10,6.60674786800246,10mM,10,0.983842600000001
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,F9,Carbenicillin_1MIC,2,in 10mM DMSO,DMSO,3.303,2.5,487.5,0,0.660674786800246,1,0.660674786800246,10mM,10,1.135203
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,E7,Carbenicillin_5MIC,2,in 10mM DMSO,DMSO,16.517,17.5,472.5,0,0.660674786800246,5,3.30337393400123,10mM,10,0.983842600000001
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,H16,Clarithromycin_0.5MIC,2,in 10mM DMSO,DMSO,3.342,2.5,487.5,0,1.33696989143804,0.5,0.66848494571902,10mM,10,1.12194
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,N14,Clarithromycin_10MIC,2,in 10mM DMSO,DMSO,66.848,67.5,422.5,0,1.33696989143804,10,13.3696989143804,10mM,10,0.991047000000003
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,P1,Clarithromycin_1MIC,2,in 10mM DMSO,DMSO,6.685,7.5,482.5,0,1.33696989143804,1,1.33696989143804,10mM,10,0.934950000000004
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,M17,Clarithromycin_5MIC,2,in 10mM DMSO,DMSO,33.424,35,455,0,1.33696989143804,5,6.6848494571902,10mM,10,1.009746
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,P17,Trimethoprim_0.5MIC,2,in 10mM DMSO,DMSO,4.306,5,485,0,1.72223753100028,0.5,0.86111876550014,10mM,10,0.870959999999998
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,D6,Trimethoprim_10MIC,2,in 10mM DMSO,DMSO,86.112,87.5,402.5,0,1.72223753100028,10,17.2223753100028,10mM,10,1.001604
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,K19,Trimethoprim_1MIC,2,in 10mM DMSO,DMSO,8.611,10,480,0,1.72223753100028,1,1.72223753100028,10mM,10,1.01612
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,B16,Trimethoprim_5MIC,2,in 10mM DMSO,DMSO,43.056,45,445,0,1.72223753100028,5,8.6111876550014,10mM,10,0.987087999999997
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240703_plate4,D11,Ampicillin_10MIC,2,in 10mM DMSO,DMSO,17.888,17.5,472.5,0,0.357750010017,10,3.57750010017,10mM,10,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240703_plate4,K6,Ampicillin_5MIC,2,in 10mM DMSO,DMSO,8.944,10,480,0,0.357750010017,5,1.788750050085,10mM,10,0.978336800000001
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,L3,Clofazimine_0.5MIC,2,in 10mM DMSO,DMSO,5.281,5,485,0,2.11233391774572,0.5,1.05616695887286,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,J5,Clofazimine_10MIC,2,in 10mM DMSO,DMSO,105.617,105,385,0,2.11233391774572,10,21.1233391774572,10mM,10,0.994160999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,C1,Clofazimine_1MIC,2,in 10mM DMSO,DMSO,10.562,10,480,0,2.11233391774572,1,2.11233391774572,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,G5,Clofazimine_5MIC,2,in 10mM DMSO,DMSO,52.808,52.5,437.5,0,2.11233391774572,5,10.5616695887286,10mM,10,0.994160999999999
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,H21,Ethambutol_0.5MIC,2,in 10mM DMSO,DMSO,12.236,12.5,477.5,0,4.89452302873085,0.5,2.44726151436543,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,F1,Ethambutol_10MIC,2,in 10mM DMSO,DMSO,244.726,245,245,0,4.89452302873085,10,48.9452302873085,10mM,10,1.001119
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,B21,Ethambutol_1MIC,2,in 10mM DMSO,DMSO,24.473,25,465,0,4.89452302873085,1,4.89452302873085,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,L10,Ethambutol_5MIC,2,in 10mM DMSO,DMSO,122.363,122.5,367.5,0,4.89452302873085,5,24.4726151436543,10mM,10,1.001119
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,D16,Cefotaxim_10MIC,2,in 10mM DMSO,DMSO,13.173,15,475,0,0.26346411399214,10,2.6346411399214,10mM,10,1.04378541666667
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,N16,Cefotaxim_1MIC,2,in 10mM DMSO,DMSO,1.317,2.5,487.5,0,0.26346411399214,1,0.26346411399214,10mM,10,0.948895833333333
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,G1,Cefotaxim_5MIC,2,in 10mM DMSO,DMSO,6.587,7.5,482.5,0,0.26346411399214,5,1.3173205699607,10mM,10,0.948895833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,B5,Doxycycline_10MIC,2,in 10mM DMSO,DMSO,13.5,15,475,0,0.270002700027,10,2.70002700027,10mM,10,1.01850833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,C23,Doxycycline_1MIC,2,in 10mM DMSO,DMSO,1.35,2.5,487.5,0,0.270002700027,1,0.270002700027,10mM,10,0.925916666666668
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,P21,Doxycycline_5MIC,2,in 10mM DMSO,DMSO,6.75,7.5,482.5,0,0.270002700027,5,1.350013500135,10mM,10,0.925916666666668
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,J12,Sulfamethoxazole_0.5MIC,2,in 10mM DMSO,DMSO,4.935,5,485,0,1.97409981048642,0.5,0.98704990524321,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,N12,Sulfamethoxazole_10MIC,2,in 10mM DMSO,DMSO,98.705,100,390,0,1.97409981048642,10,19.7409981048642,10mM,10,1.000456
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,C19,Sulfamethoxazole_1MIC,2,in 10mM DMSO,DMSO,9.87,10,480,0,1.97409981048642,1,1.97409981048642,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,C3,Sulfamethoxazole_5MIC,2,in 10mM DMSO,DMSO,49.352,50,440,0,1.97409981048642,5,9.8704990524321,10mM,10,0.987791999999999
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,O6,Moxifloxacin_10MIC,2,in 10mM DMSO,DMSO,14.947,15,475,0,0.298930575864844,10,2.98930575864844,10mM,10,1.0035775
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,N1,Moxifloxacin_1MIC,2,in 10mM DMSO,DMSO,1.495,2.5,487.5,0,0.298930575864844,1,0.298930575864844,10mM,10,0.836314583333332
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240703_plate4,H8,Moxifloxacin_5MIC,2,in 10mM DMSO,DMSO,7.473,7.5,482.5,0,0.298930575864844,5,1.49465287932422,10mM,10,1.0035775
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,L17,Ciprofloxacin_0.5MIC,2,in 10mM DMSO,DMSO,1.886,2.5,487.5,0,0.754498318977745,0.5,0.377249159488872,10mM,10,1.325384
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,A3,Ciprofloxacin_10MIC,2,in 10mM DMSO,DMSO,37.725,37.5,452.5,0,0.754498318977745,10,7.54498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,J24,Ciprofloxacin_1MIC,2,in 10mM DMSO,DMSO,3.772,5,485,0,0.754498318977745,1,0.754498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240703_plate4,G17,Ciprofloxacin_5MIC,2,in 10mM DMSO,DMSO,18.862,20,470,0,0.754498318977745,5,3.77249159488872,10mM,10,0.994038000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,L14,Amikacin_0.5MIC,2,in 10mM Water,Water,4.269,5,0,495,1.70765027322404,0.5,0.85382513661202,10mM,10,0.878400000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,E23,Amikacin_10MIC,2,in 10mM Water,Water,85.383,85,0,415,1.70765027322404,10,17.0765027322404,10mM,10,0.995520000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,E14,Amikacin_1MIC,2,in 10mM Water,Water,8.538,10,0,490,1.70765027322404,1,1.70765027322404,10mM,10,1.0248
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240703_plate4,E18,Amikacin_5MIC,2,in 10mM Water,Water,42.691,42.5,0,457.5,1.70765027322404,5,8.5382513661202,10mM,10,0.995520000000002
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,H5,Kanamycin_0.5MIC,2,in 10mM Water,Water,2.58,2.5,0,497.5,1.031994,0.5,0.515997,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,N6,Kanamycin_10MIC,2,in 10mM Water,Water,51.6,52.5,0,447.5,1.031994,10,10.31994,10mM,10,0.993222828814896
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,O24,Kanamycin_1MIC,2,in 10mM Water,Water,5.16,5,0,495,1.031994,1,1.031994,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240703_plate4,G15,Kanamycin_5MIC,2,in 10mM Water,Water,25.8,25,0,475,1.031994,5,5.15997,10mM,10,1.01744777585916
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,D10,Streptomycine_0.5MIC,2,in 10mM Water,Water,2.149,2.5,0,497.5,0.859726950720451,0.5,0.429863475360226,10mM,10,1.16316
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,C20,Streptomycine_10MIC,2,in 10mM Water,Water,42.986,42.5,0,457.5,0.859726950720451,10,8.59726950720451,10mM,10,0.988686
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,I9,Streptomycine_1MIC,2,in 10mM Water,Water,4.299,5,0,495,0.859726950720451,1,0.859726950720451,10mM,10,0.87237
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240703_plate4,L13,Streptomycine_5MIC,2,in 10mM Water,Water,21.493,22.5,0,477.5,0.859726950720451,5,4.29863475360226,10mM,10,0.988685999999999
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,L5,controlDMSO,2,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,B12,controlDMSO,2,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,L24,controlDMSO,2,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,H24,controlDMSO,2,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,F22,controlDMSO,2,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,B23,controlDMSO,2,NA,DMSO,0,0,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,K11,controlwater,2,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,J13,controlwater,2,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,F12,controlwater,2,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,I13,controlwater,2,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,E17,controlwater,2,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240703_plate4,J20,controlwater,2,NA,water,0,0,0,500,NA,NA,NA,NAmM,NA,NA
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240703_plate4,A24,Amoxicillin_0.5MIC,3,in 1mM DMSO,DMSO,8.552,10,480,0,0.342081497495963,0.5,0.171040748747982,1mM,1,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240703_plate4,M19,Amoxicillin_1MIC,3,in 1mM DMSO,DMSO,17.104,17.5,472.5,0,0.342081497495963,1,0.342081497495963,1mM,1,1.023148
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240703_plate4,G21,Ampicillin_0.5MIC,3,in 1mM DMSO,DMSO,8.944,10,480,0,0.357750010017,0.5,0.1788750050085,1mM,1,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240703_plate4,N4,Ampicillin_1MIC,3,in 1mM DMSO,DMSO,17.888,17.5,472.5,0,0.357750010017,1,0.357750010017,1mM,1,0.978336800000001
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,D12,BDM_0.5MIC,3,in 0.3mgmL DMSO,DMSO,10,10,480,0,0.12,0.5,0.06,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,D2,BDM_10MIC,3,in 0.3mgmL DMSO,DMSO,200,200,290,0,0.12,10,1.2,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,P8,BDM_1MIC,3,in 0.3mgmL DMSO,DMSO,20,20,470,0,0.12,1,0.12,0.3mgmL,0.3,1
BDM_new,NA,tube #17,master plate,NA,96w_22atb_240703_plate4,L1,BDM_5MIC,3,in 0.3mgmL DMSO,DMSO,100,100,390,0,0.12,5,0.6,0.3mgmL,0.3,1
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,master plate,NA,96w_22atb_240703_plate4,C7,Cefotaxim_0.5MIC,3,in 1mM DMSO,DMSO,6.587,7.5,482.5,0,0.26346411399214,0.5,0.13173205699607,1mM,1,0.948895833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,master plate,NA,96w_22atb_240703_plate4,M1,Doxycycline_0.5MIC,3,in 1mM DMSO,DMSO,6.75,7.5,482.5,0,0.270002700027,0.5,0.1350013500135,1mM,1,0.925916666666668
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,H23,Gepotidacin_0.5MIC,3,in 1mM DMSO,DMSO,11.148,12.5,477.5,0,0.446,0.5,0.222955498082582,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,M6,Gepotidacin_10MIC,3,in 1mM DMSO,DMSO,222.955,222.5,267.5,0,0.446,10,4.45910996165165,1mM,1,0.997957000000001
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,C18,Gepotidacin_1MIC,3,in 1mM DMSO,DMSO,22.296,22.5,467.5,0,0.446,1,0.445910996165165,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240703_plate4,B19,Gepotidacin_5MIC,3,in 1mM DMSO,DMSO,111.478,112.5,377.5,0,0.446,5,2.22955498082582,1mM,1,0.997957000000003
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,master plate,NA,96w_22atb_240703_plate4,B22,Moxifloxacin_0.5MIC,3,in 1mM DMSO,DMSO,7.473,7.5,482.5,0,0.298930575864844,0.5,0.149465287932422,1mM,1,1.0035775
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,L19,Novobiocin_0.5MIC,3,in 100mM Water,Water,4,5,0,495,16,0.5,8,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,N20,Novobiocin_10MIC,3,in 100mM Water,Water,80,80,0,420,16,10,160,100mM,100,1
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,I18,Novobiocin_1MIC,3,in 100mM Water,Water,8,7.5,0,492.5,16,1,16,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240703_plate4,E10,Novobiocin_5MIC,3,in 100mM Water,Water,40,40,0,460,16,5,80,100mM,100,1
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,B8,Rifabutin_0.5MIC,3,in 1mM DMSO,DMSO,7.379,7.5,482.5,0,0.295152416707988,0.5,0.147576208353994,1mM,1,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240703_plate4,N7,Rifabutin_1MIC,3,in 1mM DMSO,DMSO,14.758,15,475,0,0.295152416707988,1,0.295152416707988,1mM,1,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,P14,Rifampicin_0.5MIC,3,in 1mM DMSO,DMSO,3.645,5,485,0,0.145818650205361,0.5,0.072909325102681,1mM,1,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240703_plate4,F19,Rifampicin_1MIC,3,in 1mM DMSO,DMSO,7.291,7.5,482.5,0,0.145818650205361,1,0.145818650205361,1mM,1,1.028675
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,C12,Linezolid_0.5MIC,3,in 10mM DMSO,DMSO,7.411,7.5,482.5,0,2.96428042092782,0.5,1.48214021046391,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,E16,Linezolid_10MIC,3,in 10mM DMSO,DMSO,148.214,150,340,0,2.96428042092782,10,29.6428042092782,10mM,10,1.00361625
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,F15,Linezolid_1MIC,3,in 10mM DMSO,DMSO,14.821,15,475,0,2.96428042092782,1,2.96428042092782,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,J21,Linezolid_5MIC,3,in 10mM DMSO,DMSO,74.107,75,415,0,2.96428042092782,5,14.8214021046391,10mM,10,0.9951825
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,M9,Rifabutin_10MIC,3,in 10mM DMSO,DMSO,14.758,15,475,0,0.295152416707988,10,2.95152416707988,10mM,10,1.016424
