Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,rep,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,B1,Rifampicin_10MIC,1,in 10mM DMSO,DMSO,7.291,7.5,482.5,0,0.145818650205361,10,1.45818650205361,10mM,10,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,I5,Rifampicin_5MIC,1,in 10mM DMSO,DMSO,3.645,5,485,0,0.145818650205361,5,0.729093251026805,10mM,10,1.028675
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,G14,Amoxicillin_10MIC,1,in 10mM DMSO,DMSO,17.104,17.5,472.5,0,0.342081497495963,10,3.42081497495963,10mM,10,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,O22,Amoxicillin_5MIC,1,in 10mM DMSO,DMSO,8.552,10,480,0,0.342081497495963,5,1.71040748747981,10mM,10,1.023148
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,G23,Carbenicillin_0.5MIC,1,in 10mM DMSO,DMSO,1.652,2.5,487.5,0,0.660674786800246,0.5,0.330337393400123,10mM,10,0.756802
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,A16,Carbenicillin_10MIC,1,in 10mM DMSO,DMSO,33.034,35,455,0,0.660674786800246,10,6.60674786800246,10mM,10,0.983842600000001
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,G16,Carbenicillin_1MIC,1,in 10mM DMSO,DMSO,3.303,2.5,487.5,0,0.660674786800246,1,0.660674786800246,10mM,10,1.135203
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,P22,Carbenicillin_5MIC,1,in 10mM DMSO,DMSO,16.517,17.5,472.5,0,0.660674786800246,5,3.30337393400123,10mM,10,0.983842600000001
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,E21,Clarithromycin_0.5MIC,1,in 10mM DMSO,DMSO,3.342,2.5,487.5,0,1.33696989143804,0.5,0.66848494571902,10mM,10,1.12194
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,N17,Clarithromycin_10MIC,1,in 10mM DMSO,DMSO,66.848,67.5,422.5,0,1.33696989143804,10,13.3696989143804,10mM,10,0.991047000000003
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,O10,Clarithromycin_1MIC,1,in 10mM DMSO,DMSO,6.685,7.5,482.5,0,1.33696989143804,1,1.33696989143804,10mM,10,0.934950000000004
