Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,compens_water_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240703_plate4,F8,Linezolid_5MIC,in 10mM DMSO,DMSO,148.214021046391,147.5,342.5,0,2.96428042092782,5,14.8214021046391,10mM,10,0.9951825
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,H3,Rifabutin_10MIC,in 10mM DMSO,DMSO,29.5152416707988,30,460,0,0.295152416707988,10,2.95152416707988,10mM,10,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240703_plate4,B7,Rifabutin_5MIC,in 10mM DMSO,DMSO,14.7576208353994,15,475,0,0.295152416707988,5,1.47576208353994,10mM,10,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,H7,Rifampicin_10MIC,in 10mM DMSO,DMSO,14.5818650205361,15,475,0,0.145818650205361,10,1.45818650205361,10mM,10,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240703_plate4,E6,Rifampicin_5MIC,in 10mM DMSO,DMSO,7.29093251026805,7.5,482.5,0,0.145818650205361,5,0.729093251026805,10mM,10,1.028675
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,H10,Amoxicillin_10MIC,in 10mM DMSO,DMSO,34.2081497495963,35,455,0,0.342081497495963,10,3.42081497495963,10mM,10,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240703_plate4,G12,Amoxicillin_5MIC,in 10mM DMSO,DMSO,17.1040748747981,17.5,472.5,0,0.342081497495963,5,1.71040748747981,10mM,10,1.023148
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,D9,Carbenicillin_0.5MIC,in 10mM DMSO,DMSO,3.30337393400123,2.5,487.5,0,0.660674786800246,0.5,0.330337393400123,10mM,10,0.756802
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,H12,Carbenicillin_10MIC,in 10mM DMSO,DMSO,66.0674786800246,65,425,0,0.660674786800246,10,6.60674786800246,10mM,10,0.983842600000001
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,E9,Carbenicillin_1MIC,in 10mM DMSO,DMSO,6.60674786800246,7.5,482.5,0,0.660674786800246,1,0.660674786800246,10mM,10,1.135203
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240703_plate4,D12,Carbenicillin_5MIC,in 10mM DMSO,DMSO,33.0337393400123,32.5,457.5,0,0.660674786800246,5,3.30337393400123,10mM,10,0.983842600000001
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,H9,Clarithromycin_0.5MIC,in 10mM DMSO,DMSO,6.6848494571902,7.5,482.5,0,1.33696989143804,0.5,0.66848494571902,10mM,10,1.12194
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,F12,Clarithromycin_10MIC,in 10mM DMSO,DMSO,133.696989143804,132.5,357.5,0,1.33696989143804,10,13.3696989143804,10mM,10,0.991047000000003
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,D3,Clarithromycin_1MIC,in 10mM DMSO,DMSO,13.3696989143804,12.5,477.5,0,1.33696989143804,1,1.33696989143804,10mM,10,0.934950000000004
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240703_plate4,C12,Clarithromycin_5MIC,in 10mM DMSO,DMSO,66.848494571902,67.5,422.5,0,1.33696989143804,5,6.6848494571902,10mM,10,1.009746
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,C4,Trimethoprim_0.5MIC,in 10mM DMSO,DMSO,8.6111876550014,7.5,482.5,0,1.72223753100028,0.5,0.86111876550014,10mM,10,0.870959999999998
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,E5,Trimethoprim_10MIC,in 10mM DMSO,DMSO,172.223753100028,172.5,317.5,0,1.72223753100028,10,17.2223753100028,10mM,10,1.001604
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,G6,Trimethoprim_1MIC,in 10mM DMSO,DMSO,17.2223753100028,17.5,472.5,0,1.72223753100028,1,1.72223753100028,10mM,10,1.01612
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240703_plate4,A1,Trimethoprim_5MIC,in 10mM DMSO,DMSO,86.111876550014,85,405,0,1.72223753100028,5,8.6111876550014,10mM,10,0.987087999999997
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240703_plate4,G4,Ampicillin_10MIC,in 10mM DMSO,DMSO,35.7750010017,35,455,0,0.357750010017,10,3.57750010017,10mM,10,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240703_plate4,B5,Ampicillin_5MIC,in 10mM DMSO,DMSO,17.88750050085,17.5,472.5,0,0.357750010017,5,1.788750050085,10mM,10,0.978336800000001
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,E7,Clofazimine_0.5MIC,in 10mM DMSO,DMSO,10.5616695887286,10,480,0,2.11233391774572,0.5,1.05616695887286,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,H8,Clofazimine_10MIC,in 10mM DMSO,DMSO,211.233391774572,210,280,0,2.11233391774572,10,21.1233391774572,10mM,10,0.994160999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,F9,Clofazimine_1MIC,in 10mM DMSO,DMSO,21.1233391774572,20,470,0,2.11233391774572,1,2.11233391774572,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240703_plate4,A2,Clofazimine_5MIC,in 10mM DMSO,DMSO,105.616695887286,105,385,0,2.11233391774572,5,10.5616695887286,10mM,10,0.994160999999999
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,E3,Ethambutol_0.5MIC,in 10mM DMSO,DMSO,24.4726151436543,25,465,0,4.89452302873085,0.5,2.44726151436543,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,F6,Ethambutol_10MIC,in 10mM DMSO,DMSO,489.452302873085,490,0,0,4.89452302873085,10,48.9452302873085,10mM,10,1.001119
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,D7,Ethambutol_1MIC,in 10mM DMSO,DMSO,48.9452302873085,50,440,0,4.89452302873085,1,4.89452302873085,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240703_plate4,G10,Ethambutol_5MIC,in 10mM DMSO,DMSO,244.726151436543,245,245,0,4.89452302873085,5,24.4726151436543,10mM,10,1.001119
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,B12,Cefotaxim_10MIC,in 10mM DMSO,DMSO,26.346411399214,27.5,462.5,0,0.26346411399214,10,2.6346411399214,10mM,10,1.04378541666667
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,C10,Cefotaxim_1MIC,in 10mM DMSO,DMSO,2.6346411399214,2.5,487.5,0,0.26346411399214,1,0.26346411399214,10mM,10,0.948895833333333
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240703_plate4,D2,Cefotaxim_5MIC,in 10mM DMSO,DMSO,13.173205699607,12.5,477.5,0,0.26346411399214,5,1.3173205699607,10mM,10,0.948895833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,C3,Doxycycline_10MIC,in 10mM DMSO,DMSO,27.0002700027,27.5,462.5,0,0.270002700027,10,2.70002700027,10mM,10,1.01850833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,G8,Doxycycline_1MIC,in 10mM DMSO,DMSO,2.70002700027,2.5,487.5,0,0.270002700027,1,0.270002700027,10mM,10,0.925916666666668
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240703_plate4,H11,Doxycycline_5MIC,in 10mM DMSO,DMSO,13.50013500135,12.5,477.5,0,0.270002700027,5,1.350013500135,10mM,10,0.925916666666668
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,F1,Sulfamethoxazole_0.5MIC,in 10mM DMSO,DMSO,9.8704990524321,10,480,0,1.97409981048642,0.5,0.98704990524321,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,E4,Sulfamethoxazole_10MIC,in 10mM DMSO,DMSO,197.409981048642,197.5,292.5,0,1.97409981048642,10,19.7409981048642,10mM,10,1.000456
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240703_plate4,F5,Sulfamethoxazole_1MIC,in 10mM DMSO,DMSO,19.7409981048642,20,470,0,1.97409981048642,1,1.97409981048642,10mM,10,1.01312
