Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240702_plate3,E5,Amikacin_0.5MIC,in 10mM Water,Water,8.5382513661202,7.5,0,1.70765027322404,0.5,0.85382513661202,10mM,10,0.878400000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240702_plate3,D8,Amikacin_10MIC,in 10mM Water,Water,170.765027322404,170,0,1.70765027322404,10,17.0765027322404,10mM,10,0.995520000000002
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240702_plate3,A5,Amikacin_1MIC,in 10mM Water,Water,17.0765027322404,17.5,0,1.70765027322404,1,1.70765027322404,10mM,10,1.0248
Amikacin,1.0 Hydroxide,PAST-0137186-001,Selleckchem-L3800-11,G19,96w_22atb_240702_plate3,B2,Amikacin_5MIC,in 10mM Water,Water,85.382513661202,85,0,1.70765027322404,5,8.5382513661202,10mM,10,0.995520000000002
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240702_plate3,D5,Amoxicillin_0.5MIC,in 1mM DMSO,DMSO,17.1040748747982,17.5,472.5,0.342081497495963,0.5,0.171040748747982,1mM,1,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240702_plate3,D2,Amoxicillin_10MIC,in 10mM DMSO,DMSO,34.2081497495963,35,455,0.342081497495963,10,3.42081497495963,10mM,10,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,master plate,NA,96w_22atb_240702_plate3,F1,Amoxicillin_1MIC,in 1mM DMSO,DMSO,34.2081497495963,35,455,0.342081497495963,1,0.342081497495963,1mM,1,1.023148
Amoxicillin,"No Salt, free base or acid",PAST-0000352-004,Selleckchem-L3800-03,I22,96w_22atb_240702_plate3,D6,Amoxicillin_5MIC,in 10mM DMSO,DMSO,17.1040748747981,17.5,472.5,0.342081497495963,5,1.71040748747981,10mM,10,1.023148
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240702_plate3,H1,Ampicillin_0.5MIC,in 1mM DMSO,DMSO,17.88750050085,17.5,472.5,0.357750010017,0.5,0.1788750050085,1mM,1,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240702_plate3,C6,Ampicillin_10MIC,in 10mM DMSO,DMSO,35.7750010017,35,455,0.357750010017,10,3.57750010017,10mM,10,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,master plate,NA,96w_22atb_240702_plate3,F9,Ampicillin_1MIC,in 1mM DMSO,DMSO,35.7750010017,35,455,0.357750010017,1,0.357750010017,1mM,1,0.978336800000001
Ampicillin,"No Salt, free base or acid / 3.0 H2O",PAST-0000221-003,Selleckchem-L3800-04,F22,96w_22atb_240702_plate3,C2,Ampicillin_5MIC,in 10mM DMSO,DMSO,17.88750050085,17.5,472.5,0.357750010017,5,1.788750050085,10mM,10,0.978336800000001
BDM,NA,NA,master plate,NA,96w_22atb_240702_plate3,H11,BDM_0.5MIC,in 0.3mgmL DMSO,DMSO,20,20,470,0.12,0.5,0.06,0.3mgmL,0.3,1
BDM,NA,NA,master plate,NA,96w_22atb_240702_plate3,A6,BDM_10MIC,in 0.3mgmL DMSO,DMSO,400,400,90,0.12,10,1.2,0.3mgmL,0.3,1
BDM,NA,NA,master plate,NA,96w_22atb_240702_plate3,B7,BDM_1MIC,in 0.3mgmL DMSO,DMSO,40,40,450,0.12,1,0.12,0.3mgmL,0.3,1
BDM,NA,NA,master plate,NA,96w_22atb_240702_plate3,B8,BDM_5MIC,in 0.3mgmL DMSO,DMSO,200,200,290,0.12,5,0.6,0.3mgmL,0.3,1
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240702_plate3,F4,Carbenicillin_0.5MIC,in 10mM DMSO,DMSO,3.30337393400123,2.5,487.5,0.660674786800246,0.5,0.330337393400123,10mM,10,0.756802
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240702_plate3,B4,Carbenicillin_10MIC,in 10mM DMSO,DMSO,66.0674786800246,65,425,0.660674786800246,10,6.60674786800246,10mM,10,0.983842600000001
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240702_plate3,F12,Carbenicillin_1MIC,in 10mM DMSO,DMSO,6.60674786800246,7.5,482.5,0.660674786800246,1,0.660674786800246,10mM,10,1.135203
Carbenicillin,2.0 Sodium(I),PAST-0003150-003,Selleckchem-L3800-03,F22,96w_22atb_240702_plate3,H2,Carbenicillin_5MIC,in 10mM DMSO,DMSO,33.0337393400123,32.5,457.5,0.660674786800246,5,3.30337393400123,10mM,10,0.983842600000001
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,master plate,NA,96w_22atb_240702_plate3,D7,Cefotaxim_0.5MIC,in 1mM DMSO,DMSO,13.173205699607,12.5,477.5,0.26346411399214,0.5,0.13173205699607,1mM,1,0.948895833333333
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240702_plate3,A3,Cefotaxim_10MIC,in 10mM DMSO,DMSO,26.346411399214,27.5,462.5,0.26346411399214,10,2.6346411399214,10mM,10,1.04378541666667
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240702_plate3,C10,Cefotaxim_1MIC,in 10mM DMSO,DMSO,2.6346411399214,2.5,487.5,0.26346411399214,1,0.26346411399214,10mM,10,0.948895833333333
Cefotaxim,"No Salt, free base or acid",PAST-0136216-001,Selleckchem-L3800-05,J22,96w_22atb_240702_plate3,H12,Cefotaxim_5MIC,in 10mM DMSO,DMSO,13.173205699607,12.5,477.5,0.26346411399214,5,1.3173205699607,10mM,10,0.948895833333333
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240702_plate3,D12,Ciprofloxacin_0.5MIC,in 10mM DMSO,DMSO,3.77249159488872,5,485,0.754498318977745,0.5,0.377249159488872,10mM,10,1.325384
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240702_plate3,E7,Ciprofloxacin_10MIC,in 10mM DMSO,DMSO,75.4498318977745,75,415,0.754498318977745,10,7.54498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240702_plate3,F8,Ciprofloxacin_1MIC,in 10mM DMSO,DMSO,7.54498318977745,7.5,482.5,0.754498318977745,1,0.754498318977745,10mM,10,0.994038
Ciprofloxacin,1.0 Hydrochloride,PAST-0136946-001,Selleckchem-L3800-09,F18,96w_22atb_240702_plate3,D9,Ciprofloxacin_5MIC,in 10mM DMSO,DMSO,37.7249159488872,37.5,452.5,0.754498318977745,5,3.77249159488872,10mM,10,0.994038000000002
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240702_plate3,G3,Clarithromycin_0.5MIC,in 10mM DMSO,DMSO,6.6848494571902,7.5,482.5,1.33696989143804,0.5,0.66848494571902,10mM,10,1.12194
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240702_plate3,C9,Clarithromycin_10MIC,in 10mM DMSO,DMSO,133.696989143804,132.5,357.5,1.33696989143804,10,13.3696989143804,10mM,10,0.991047000000003
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240702_plate3,G10,Clarithromycin_1MIC,in 10mM DMSO,DMSO,13.3696989143804,12.5,477.5,1.33696989143804,1,1.33696989143804,10mM,10,0.934950000000004
Clarithromycin,"No Salt, free base or acid",PAST-0000241-003,Selleckchem-L3800-03,J13,96w_22atb_240702_plate3,C7,Clarithromycin_5MIC,in 10mM DMSO,DMSO,66.848494571902,67.5,422.5,1.33696989143804,5,6.6848494571902,10mM,10,1.009746
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240702_plate3,A4,Clofazimine_0.5MIC,in 10mM DMSO,DMSO,10.5616695887286,10,480,2.11233391774572,0.5,1.05616695887286,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240702_plate3,H8,Clofazimine_10MIC,in 10mM DMSO,DMSO,211.233391774572,210,280,2.11233391774572,10,21.1233391774572,10mM,10,0.994160999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240702_plate3,B10,Clofazimine_1MIC,in 10mM DMSO,DMSO,21.1233391774572,20,470,2.11233391774572,1,2.11233391774572,10mM,10,0.946819999999999
Clofazimine,"No Salt, free base or acid",PAST-0000471-004,Selleckchem-L3800-04,J16,96w_22atb_240702_plate3,E9,Clofazimine_5MIC,in 10mM DMSO,DMSO,105.616695887286,105,385,2.11233391774572,5,10.5616695887286,10mM,10,0.994160999999999
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,D1,DMSO_0.5MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,F2,DMSO_1MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,C3,DMSO_5MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,H4,DMSO_10MIC,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,B5,DMSO_R5,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,A12,DMSO_R6,NA,DMSO,NA,490,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,H6,Water_0.5MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,A7,Water_1MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,E8,Water_5MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
