Antibiotic,true_salt,PAST number,Source plate name,Source well,Destination plate name,Destination well,cond,galenique,solvent,theo_transf_vol_nL,transf_vol_nL,compens_dmso_nL,MIC (uM),xMIC,Target Concentration (uM),conc_from,conc_from_mm,ratio_reel_theo
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,G9,Water_10MIC,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,D10,Water_R5,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
control,NA,NA,solvent plate,NA,96w_22atb_240702_plate3,B11,Water_R6,NA,water,NA,170,0,NA,NA,NA,NAmM,NA,NA
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,master plate,NA,96w_22atb_240702_plate3,D3,Doxycycline_0.5MIC,in 1mM DMSO,DMSO,13.50013500135,12.5,477.5,0.270002700027,0.5,0.1350013500135,1mM,1,0.925916666666668
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240702_plate3,F6,Doxycycline_10MIC,in 10mM DMSO,DMSO,27.0002700027,27.5,462.5,0.270002700027,10,2.70002700027,10mM,10,1.01850833333333
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240702_plate3,A8,Doxycycline_1MIC,in 10mM DMSO,DMSO,2.70002700027,2.5,487.5,0.270002700027,1,0.270002700027,10mM,10,0.925916666666668
Doxycycline,"No Salt, free base or acid",PAST-0136359-001,Selleckchem-L3800-06,M14,96w_22atb_240702_plate3,A1,Doxycycline_5MIC,in 10mM DMSO,DMSO,13.50013500135,12.5,477.5,0.270002700027,5,1.350013500135,10mM,10,0.925916666666668
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240702_plate3,F10,Ethambutol_0.5MIC,in 10mM DMSO,DMSO,24.4726151436543,25,465,4.89452302873085,0.5,2.44726151436543,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240702_plate3,G1,Ethambutol_10MIC,in 10mM DMSO,DMSO,489.452302873085,490,0,4.89452302873085,10,48.9452302873085,10mM,10,1.001119
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240702_plate3,C5,Ethambutol_1MIC,in 10mM DMSO,DMSO,48.9452302873085,50,440,4.89452302873085,1,4.89452302873085,10mM,10,1.02155
Ethambutol,2.0 Hydrochloride,PAST-0136023-001,Selleckchem-L3800-04,K16,96w_22atb_240702_plate3,B6,Ethambutol_5MIC,in 10mM DMSO,DMSO,244.726151436543,245,245,4.89452302873085,5,24.4726151436543,10mM,10,1.001119
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240702_plate3,H9,Gepotidacin_0.5MIC,in 1mM DMSO,DMSO,22.2955498082582,22.5,467.5,0.446,0.5,0.222955498082582,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240702_plate3,G12,Gepotidacin_10MIC,in 1mM DMSO,DMSO,445.910996165165,445,45,0.446,10,4.45910996165165,1mM,1,0.997957000000001
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240702_plate3,D11,Gepotidacin_1MIC,in 1mM DMSO,DMSO,44.5910996165165,45,445,0.446,1,0.445910996165165,1mM,1,1.00917
Gepotidacin,NA,NA,master plate,NA,96w_22atb_240702_plate3,E11,Gepotidacin_5MIC,in 1mM DMSO,DMSO,222.955498082582,222.5,267.5,0.446,5,2.22955498082582,1mM,1,0.997957000000003
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240702_plate3,H10,Kanamycin_0.5MIC,in 10mM Water,Water,5.15997,5,0,1.031994,0.5,0.515997,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240702_plate3,A11,Kanamycin_10MIC,in 10mM Water,Water,103.1994,102.5,0,1.031994,10,10.31994,10mM,10,0.993222828814896
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240702_plate3,B9,Kanamycin_1MIC,in 10mM Water,Water,10.31994,10,0,1.031994,1,1.031994,10mM,10,0.96899788177063
Kanamycin,1.0 Sulfuric acid,PAST-0000581-004,Selleckchem-L3800-11,A13,96w_22atb_240702_plate3,C1,Kanamycin_5MIC,in 10mM Water,Water,51.5997,52.5,0,1.031994,5,5.15997,10mM,10,1.01744777585916
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240702_plate3,A10,Linezolid_0.5MIC,in 10mM DMSO,DMSO,14.8214021046391,15,475,2.96428042092782,0.5,1.48214021046391,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240702_plate3,E6,Linezolid_10MIC,in 10mM DMSO,DMSO,296.428042092782,297.5,192.5,2.96428042092782,10,29.6428042092782,10mM,10,1.00361625
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240702_plate3,H7,Linezolid_1MIC,in 10mM DMSO,DMSO,29.6428042092782,30,460,2.96428042092782,1,2.96428042092782,10mM,10,1.01205
Linezolid,"No Salt, free base or acid",PAST-0000076-003,Selleckchem-L3800-01,K8,96w_22atb_240702_plate3,G6,Linezolid_5MIC,in 10mM DMSO,DMSO,148.214021046391,147.5,342.5,2.96428042092782,5,14.8214021046391,10mM,10,0.9951825
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,master plate,NA,96w_22atb_240702_plate3,A9,Moxifloxacin_0.5MIC,in 1mM DMSO,DMSO,14.9465287932422,15,475,0.298930575864844,0.5,0.149465287932422,1mM,1,1.0035775
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240702_plate3,E3,Moxifloxacin_10MIC,in 10mM DMSO,DMSO,29.8930575864844,30,460,0.298930575864844,10,2.98930575864844,10mM,10,1.0035775
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240702_plate3,C12,Moxifloxacin_1MIC,in 10mM DMSO,DMSO,2.98930575864844,2.5,487.5,0.298930575864844,1,0.298930575864844,10mM,10,0.836314583333332
Moxifloxacin,"No Salt, free base or acid",PAST-0136479-001,Selleckchem-L3800-07,G19,96w_22atb_240702_plate3,H3,Moxifloxacin_5MIC,in 10mM DMSO,DMSO,14.9465287932422,15,475,0.298930575864844,5,1.49465287932422,10mM,10,1.0035775
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240702_plate3,A2,Novobiocin_0.5MIC,in 100mM Water,Water,8,7.5,0,16,0.5,8,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240702_plate3,F5,Novobiocin_10MIC,in 100mM Water,Water,160,160,0,16,10,160,100mM,100,1
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240702_plate3,H5,Novobiocin_1MIC,in 100mM Water,Water,16,15,0,16,1,16,100mM,100,0.9375
Novobiocin,1.0 Sodium(I),PAST-0135796-001,master plate,NA,96w_22atb_240702_plate3,G8,Novobiocin_5MIC,in 100mM Water,Water,80,80,0,16,5,80,100mM,100,1
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240702_plate3,G2,Rifabutin_0.5MIC,in 1mM DMSO,DMSO,14.7576208353994,15,475,0.295152416707988,0.5,0.147576208353994,1mM,1,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240702_plate3,G11,Rifabutin_10MIC,in 10mM DMSO,DMSO,29.5152416707988,30,460,0.295152416707988,10,2.95152416707988,10mM,10,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,master plate,NA,96w_22atb_240702_plate3,G4,Rifabutin_1MIC,in 1mM DMSO,DMSO,29.5152416707988,30,460,0.295152416707988,1,0.295152416707988,1mM,1,1.016424
Rifabutin,"No Salt, free base or acid",PAST-0000705-004,Selleckchem-L3800-02,M7,96w_22atb_240702_plate3,F3,Rifabutin_5MIC,in 10mM DMSO,DMSO,14.7576208353994,15,475,0.295152416707988,5,1.47576208353994,10mM,10,1.016424
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240702_plate3,C4,Rifampicin_0.5MIC,in 1mM DMSO,DMSO,7.29093251026805,7.5,482.5,0.145818650205361,0.5,0.072909325102681,1mM,1,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240702_plate3,E1,Rifampicin_10MIC,in 10mM DMSO,DMSO,14.5818650205361,15,475,0.145818650205361,10,1.45818650205361,10mM,10,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,master plate,NA,96w_22atb_240702_plate3,E2,Rifampicin_1MIC,in 1mM DMSO,DMSO,14.5818650205361,15,475,0.145818650205361,1,0.145818650205361,1mM,1,1.028675
Rifampicin,"No Salt, free base or acid",PAST-0135665-001,Selleckchem-L3800-02,I11,96w_22atb_240702_plate3,E12,Rifampicin_5MIC,in 10mM DMSO,DMSO,7.29093251026805,7.5,482.5,0.145818650205361,5,0.729093251026805,10mM,10,1.028675
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240702_plate3,C11,Streptomycine_0.5MIC,in 10mM Water,Water,4.29863475360226,5,0,0.859726950720451,0.5,0.429863475360226,10mM,10,1.16316
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240702_plate3,E10,Streptomycine_10MIC,in 10mM Water,Water,85.9726950720451,85,0,0.859726950720451,10,8.59726950720451,10mM,10,0.988686
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240702_plate3,B1,Streptomycine_1MIC,in 10mM Water,Water,8.59726950720451,7.5,0,0.859726950720451,1,0.859726950720451,10mM,10,0.87237
Streptomycine,1.5 Sulfuric acid,PAST-0000339-004,Selleckchem-L3800-11,I15,96w_22atb_240702_plate3,B3,Streptomycine_5MIC,in 10mM Water,Water,42.9863475360226,42.5,0,0.859726950720451,5,4.29863475360226,10mM,10,0.988685999999999
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240702_plate3,G5,Sulfamethoxazole_0.5MIC,in 10mM DMSO,DMSO,9.8704990524321,10,480,1.97409981048642,0.5,0.98704990524321,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240702_plate3,E4,Sulfamethoxazole_10MIC,in 10mM DMSO,DMSO,197.409981048642,197.5,292.5,1.97409981048642,10,19.7409981048642,10mM,10,1.000456
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240702_plate3,G7,Sulfamethoxazole_1MIC,in 10mM DMSO,DMSO,19.7409981048642,20,470,1.97409981048642,1,1.97409981048642,10mM,10,1.01312
Sulfamethoxazole,"No Salt, free base or acid",PAST-0136263-001,Selleckchem-L3800-06,K19,96w_22atb_240702_plate3,F11,Sulfamethoxazole_5MIC,in 10mM DMSO,DMSO,98.704990524321,97.5,392.5,1.97409981048642,5,9.8704990524321,10mM,10,0.987791999999999
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240702_plate3,F7,Trimethoprim_0.5MIC,in 10mM DMSO,DMSO,8.6111876550014,7.5,482.5,1.72223753100028,0.5,0.86111876550014,10mM,10,0.870959999999998
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240702_plate3,D4,Trimethoprim_10MIC,in 10mM DMSO,DMSO,172.223753100028,172.5,317.5,1.72223753100028,10,17.2223753100028,10mM,10,1.001604
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240702_plate3,C8,Trimethoprim_1MIC,in 10mM DMSO,DMSO,17.2223753100028,17.5,472.5,1.72223753100028,1,1.72223753100028,10mM,10,1.01612
Trimethoprim,"No Salt, free base or acid",PAST-0000354-007,Selleckchem-L3800-03,B16,96w_22atb_240702_plate3,B12,Trimethoprim_5MIC,in 10mM DMSO,DMSO,86.111876550014,85,405,1.72223753100028,5,8.6111876550014,10mM,10,0.987087999999997
